Product Name,Category,Price,City
Сыр Манчего 2-3 месяца Vega Mancha кусковой ±150 гр,Сыры,29 800 Т,Astana
Vega Mancha  Semicurado Сыр Манчего 2-3 месяца кусковой 150 гр,Сыры,29 800 Т,Astana
"Ghidetti Сыр Parmigiano Dop 18 мес, кусковой",Сыры,22 000 Т,Astana
Vega Mancha Сыр Манчего выдержанный Diablo кусковой 200 гр,Сыры,29 800 Т,Astana
"Luigi Guffanti Буонасорте сыр твердый,24 месяца кусковой ±300 гр",Сыры,24 500 Т,Astana
Vega Mancha Сыр Манчего выдержанный с белыми грибами кусковой 200 гр,Сыры,29 800 Т,Astana
Сыр творожный Cremette 200 гр,Сыры,1 000 Т,Astana
"Ghidetti Сыр Grana Padano Dop 10-12 мес, кусковой",Сыры,25 000 Т,Astana
Ghidetti Сыр Рикотта 295 гр,Сыры,2 800 Т,Astana
Ghidetti Сыр Проволоне с орегано 200 гр,Сыры,3 800 Т,Astana
"Ghidetti Сыр Маскарпоне 42%, 250 гр",Сыры,3 000 Т,Astana
Ghidetti Сыр Проволоне Валпадана Дольче 200 гр,Сыры,3 800 Т,Astana
Сыр творожный Профичиз 70% Хорека 2 кг,Сыры,8 800 Т,Astana
"Vega Mancha Сыр Манчего выдержанный с белым трюфелем круг 3,4 кг +/-",Сыры,24 990 Т,Astana
"Luigi Guffanti Буонасорте сыр твердый на буйволином молоке, 24 месяца кусковой ±300 гр",Сыры,35 500 Т,Astana
Ghidetti Сыр Проволоне Дольче 200 гр,Сыры,3 800 Т,Astana
Ghidetti Сыр Проволоне Валпадана Пикантный 200 гр,Сыры,3 800 Т,Astana
"Luigi Guffanti Горгонзола Дольче сыр мягкий, кусковой 250-300 гр.",Сыры,23 500 Т,Astana
"Luigi Guffanti Пьяве Веччо сыр полутвердый, кусковой 250-300 гр",Сыры,28 500 Т,Astana
"Luigi Guffanti Пьяве Меззано сыр полутвердый, кусковой 250-300 гр",Сыры,26 800 Т,Astana
"Luigi Guffanti Пьяве Оро сыр полутвердый, кусковой 250-300 гр",Сыры,29 900 Т,Astana
"Ghidetti Сыр Grana Padano Dop 10-12 мес, 1 кг",Сыры,17 500 Т,Astana
"Сыр Манчего полувыдержанный 2-3 месяца Vega Mancha круг 3,4 кг",Сыры,25 990 Т,Astana
Ghidetti Сыр твердый Gran Guardia 1 кг,Сыры,14 500 Т,Astana
"Luigi Guffanti Пьяве Веччо сыр полутвердый, круг 6.5 кг",Сыры,27 500 Т,Astana
"Luigi Guffanti Пьяве Оро сыр полутвердый, круг 6.5 кг",Сыры,28 900 Т,Astana
